# RaceRender Data: TrackAddict 4.8.2 on iOS 26.0 [iPhone14,5] (Mode: 0)
# Vehicle: 2021 Mazda MX-5 Club
# Vehicle Tune: OSID's: PAEAEB000PEP6010, CVN's: 50F61056
# End Point: 32.523121, -97.615272  @ -1.00 deg
# Split Point 1: 32.521038, -97.618430  @ -1.00 deg
# Split Point 2: 32.523611, -97.613974  @ -1.00 deg
# Split Point 3: 32.523863, -97.611440  @ -1.00 deg
# GPS: iOS; Type: 0
# OBD Mode: BLE; ID: "ELM327 v1.5"
# OBD Settings: AP1;AF1;RPR0
# User Settings: U0;AS1;LT0/1;EC0;VC0;VQ3;VS1
# Device Free Space: 18135 MB
"Time","UTC Time","Lap","Sector","Predicted Lap Time","Predicted vs Best Lap","GPS_Update","GPS_Delay","Latitude","Longitude","Altitude (m)","Altitude (ft)","Speed (MPH)","Heading","Accuracy (m)","Accel X","Accel Y","Accel Z","Brake (calculated)","Barometric Pressure (PSI)","Pressure Altitude (ft)","OBD_Update","Engine Speed (RPM) *OBD","Vehicle Speed (mph) *OBD","Throttle Position (%) *OBD","Intake Air Temp (F) *OBD","Intake Manifold Pressure (PSI) *OBD","Engine Coolant Temp (F) *OBD"
0.000,1757547004.000,0,0,0,0,1,0.000,32.5230569,-97.6176372,316.6,1039,15.3,264.9,12.7,0.03,0.27,0.04,0,0.000,0,1,3555.500,17.398,17.255,138.200,3.336,194.000
0.011,1757547004.011,0,0,0,0,0,0.000,32.5230569,-97.6176372,316.6,1039,15.3,264.9,12.7,0.06,0.29,0.04,0,0.000,0,0,3555.500,17.398,17.255,138.200,3.336,194.000
0.057,1757547004.057,0,0,0,0,0,0.000,32.5230569,-97.6176372,316.6,1039,15.3,264.9,12.7,0.02,0.29,0.02,0,0.000,0,0,3555.500,17.398,17.255,138.200,3.336,194.000
0.111,1757547004.111,0,0,0,0,0,0.000,32.5230569,-97.6176372,316.6,1039,15.3,264.9,12.7,0.15,0.29,0.01,0,0.000,0,0,3555.500,17.398,17.255,138.200,3.336,194.000
0.168,1757547004.168,0,0,0,0,0,0.000,32.5230569,-97.6176372,316.6,1039,15.3,264.9,12.7,0.15,0.16,-0.05,0,0.000,0,0,3555.500,17.398,17.255,138.200,3.336,194.000
0.218,1757547004.218,0,0,0,0,0,0.000,32.5230569,-97.6176372,316.6,1039,15.3,264.9,12.7,0.15,0.08,-0.13,0,0.000,0,0,3555.500,17.398,17.255,138.200,3.336,194.000
0.249,1757547004.249,0,0,0,0,0,0.000,32.5230569,-97.6176372,316.6,1039,15.3,264.9,12.7,0.15,0.08,-0.13,0,0.000,0,1,3516.500,16.777,16.863,138.200,3.481,194.000
0.298,1757547004.298,0,0,0,0,0,0.000,32.5230569,-97.6176372,316.6,1039,15.3,264.9,12.7,0.12,0.24,-0.04,0,0.000,0,0,3516.500,16.777,16.863,138.200,3.481,194.000
0.348,1757547004.348,0,0,0,0,0,0.000,32.5230569,-97.6176372,316.6,1039,15.3,264.9,12.7,0.12,0.32,0.04,0,0.000,0,0,3516.500,16.777,16.863,138.200,3.481,194.000
0.399,1757547004.399,0,0,0,0,0,0.000,32.5230569,-97.6176372,316.6,1039,15.3,264.9,12.7,0.09,0.53,0.01,0,0.000,0,0,3516.500,16.777,16.863,138.200,3.481,194.000
0.449,1757547004.449,0,0,0,0,0,0.000,32.5230569,-97.6176372,316.6,1039,15.3,264.9,12.7,0.09,0.53,0.01,0,0.000,0,0,3516.500,16.777,16.863,138.200,3.481,194.000
0.499,1757547004.499,0,0,0,0,0,0.000,32.5230569,-97.6176372,316.6,1039,15.3,264.9,12.7,0.10,0.52,0.01,0,0.000,0,0,3516.500,16.777,16.863,138.200,3.481,194.000
0.550,1757547004.550,0,0,0,0,0,0.000,32.5230569,-97.6176372,316.6,1039,15.3,264.9,12.7,0.12,0.36,-0.00,0,0.000,0,0,3516.500,16.777,16.863,138.200,3.481,194.000
0.600,1757547004.600,0,0,0,0,0,0.000,32.5230569,-97.6176372,316.6,1039,15.3,264.9,12.7,0.10,0.34,-0.06,0,0.000,0,0,3516.500,16.777,16.863,138.200,3.481,194.000
0.644,1757547004.644,0,0,0,0,1,0.000,32.5230510,-97.6177162,316.8,1039,16.8,264.9,16.6,0.14,0.07,-0.04,0,0.000,0,0,3516.500,16.777,16.863,138.200,3.481,194.000
0.674,1757547004.674,0,0,0,0,0,0.000,32.5230510,-97.6177162,316.8,1039,16.8,264.9,16.6,0.13,0.07,-0.04,0,0.000,0,1,3382.500,16.156,16.471,138.200,3.481,194.000
0.720,1757547004.720,0,0,0,0,0,0.000,32.5230510,-97.6177162,316.8,1039,16.8,264.9,16.6,0.13,0.14,0.05,0,0.000,0,0,3382.500,16.156,16.471,138.200,3.481,194.000
0.771,1757547004.771,0,0,0,0,0,0.000,32.5230510,-97.6177162,316.8,1039,16.8,264.9,16.6,0.08,0.18,0.05,0,0.000,0,0,3382.500,16.156,16.471,138.200,3.481,194.000
0.821,1757547004.821,0,0,0,0,0,0.000,32.5230510,-97.6177162,316.8,1039,16.8,264.9,16.6,0.04,0.18,-0.01,0,0.000,0,0,3382.500,16.156,16.471,138.200,3.481,194.000
0.871,1757547004.871,0,0,0,0,0,0.000,32.5230510,-97.6177162,316.8,1039,16.8,264.9,16.6,0.04,0.25,-0.07,0,0.000,0,0,3382.500,16.156,16.471,138.200,3.481,194.000
0.922,1757547004.922,0,0,0,0,0,0.000,32.5230510,-97.6177162,316.8,1039,16.8,264.9,16.6,0.02,0.39,-0.07,0,0.000,0,0,3382.500,16.156,16.471,138.200,3.481,194.000
0.972,1757547004.972,0,0,0,0,0,0.000,32.5230510,-97.6177162,316.8,1039,16.8,264.9,16.6,0.00,0.42,-0.07,0,0.000,0,0,3382.500,16.156,16.471,138.200,3.481,194.000
1.022,1757547005.022,0,0,0,0,0,0.000,32.5230510,-97.6177162,316.8,1039,16.8,264.9,16.6,0.01,0.53,0.00,0,0.000,0,0,3382.500,16.156,16.471,138.200,3.481,194.000
1.031,1757547005.031,0,0,0,0,0,0.000,32.5230510,-97.6177162,316.8,1039,16.8,264.9,16.6,0.01,0.53,0.00,0,0.000,0,1,3262.000,15.534,16.863,138.200,3.336,194.000
1.072,1757547005.072,0,0,0,0,0,0.000,32.5230510,-97.6177162,316.8,1039,16.8,264.9,16.6,0.01,0.59,0.02,0,0.000,0,0,3262.000,15.534,16.863,138.200,3.336,194.000
1.122,1757547005.122,0,0,0,0,0,0.000,32.5230510,-97.6177162,316.8,1039,16.8,264.9,16.6,0.03,0.62,0.02,0,0.000,0,0,3262.000,15.534,16.863,138.200,3.336,194.000
